dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-vanilla_vq_transplant_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.2.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32_1
loss_pre: loss_1.0_1.0_0.0_0.5
training_pre: vanilla_vq_refinement_True
saver_name_pre: vanilla_vq_refinement_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.1113, rec_loss 0.0325, lpips_loss 0.2073, g_loss -0.0632, disc_weight 0.5000, disc_adaptive_weight 2.0471, d_loss 2.5515, logits_real 0.0722, logits_fake 0.0633,
Train Epoch: [3/5] Iters:[770/20018] gen_loss 0.2982, rec_loss 0.0385, lpips_loss 0.2054, g_loss 0.0171, disc_weight 0.5000, disc_adaptive_weight 3.1765, d_loss 0.5003, logits_real -0.0171, logits_fake -0.0171,
Train Epoch: [3/5] Iters:[780/20018] gen_loss 0.2971, rec_loss 0.0383, lpips_loss 0.2047, g_loss 0.0171, disc_weight 0.5000, disc_adaptive_weight 3.1771, d_loss 0.5003, logits_real -0.0170, logits_fake -0.0170,
Train Epoch: [3/5] Iters:[790/20018] gen_loss 0.2980, rec_loss 0.0380, lpips_loss 0.2047, g_loss 0.0171, disc_weight 0.5000, disc_adaptive_weight 3.2370, d_loss 0.5003, logits_real -0.0171, logits_fake -0.0169,
Train Epoch: [3/5] Iters:[800/20018] gen_loss 0.2984, rec_loss 0.0380, lpips_loss 0.2040, g_loss 0.0171, disc_weight 0.5000, disc_adaptive_weight 3.3047, d_loss 0.5003, logits_real -0.0170, logits_fake -0.0170,
Train Epoch: [3/5] Iters:[810/20018] gen_loss 0.2965, rec_loss 0.0378, lpips_loss 0.2046, g_loss 0.0166, disc_weight 0.5000, disc_adaptive_weight 3.2525, d_loss 0.5002, logits_real -0.0167, logits_fake -0.0170,
Train Epoch: [3/5] Iters:[820/20018] gen_loss 0.2963, rec_loss 0.0370, lpips_loss 0.2041, g_loss 0.0167, disc_weight 0.5000, disc_adaptive_weight 3.2968, d_loss 0.5002, logits_real -0.0168, logits_fake -0.0170,
Train Epoch: [3/5] Iters:[830/20018] gen_loss 0.2974, rec_loss 0.0367, lpips_loss 0.2045, g_loss 0.0167, disc_weight 0.5000, disc_adaptive_weight 3.3374, d_loss 0.5002, logits_real -0.0165, logits_fake -0.0168,
Train Epoch: [3/5] Iters:[840/20018] gen_loss 0.2964, rec_loss 0.0367, lpips_loss 0.2036, g_loss 0.0168, disc_weight 0.5000, disc_adaptive_weight 3.3128, d_loss 0.5001, logits_real -0.0164, logits_fake -0.0169,
Train Epoch: [3/5] Iters:[850/20018] gen_loss 0.2949, rec_loss 0.0367, lpips_loss 0.2038, g_loss 0.0169, disc_weight 0.5000, disc_adaptive_weight 3.2022, d_loss 0.5002, logits_real -0.0165, logits_fake -0.0169,
Train Epoch: [3/5] Iters:[860/20018] gen_loss 0.2964, rec_loss 0.0368, lpips_loss 0.2028, g_loss 0.0176, disc_weight 0.5000, disc_adaptive_weight 3.2171, d_loss 0.5002, logits_real -0.0168, logits_fake -0.0172,
Train Epoch: [3/5] Iters:[870/20018] gen_loss 0.2952, rec_loss 0.0368, lpips_loss 0.2026, g_loss 0.0177, disc_weight 0.5000, disc_adaptive_weight 3.1428, d_loss 0.5002, logits_real -0.0169, logits_fake -0.0173,
Train Epoch: [3/5] Iters:[880/20018] gen_loss 0.2945, rec_loss 0.0365, lpips_loss 0.2022, g_loss 0.0180, disc_weight 0.5000, disc_adaptive_weight 3.0822, d_loss 0.5001, logits_real -0.0174, logits_fake -0.0180,
Train Epoch: [3/5] Iters:[890/20018] gen_loss 0.2962, rec_loss 0.0364, lpips_loss 0.2031, g_loss 0.0184, disc_weight 0.5000, disc_adaptive_weight 3.0699, d_loss 0.5002, logits_real -0.0178, logits_fake -0.0182,
Train Epoch: [3/5] Iters:[900/20018] gen_loss 0.2977, rec_loss 0.0364, lpips_loss 0.2040, g_loss 0.0185, disc_weight 0.5000, disc_adaptive_weight 3.0764, d_loss 0.5001, logits_real -0.0178, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[910/20018] gen_loss 0.2952, rec_loss 0.0357, lpips_loss 0.2030, g_loss 0.0187, disc_weight 0.5000, disc_adaptive_weight 3.0068, d_loss 0.5002, logits_real -0.0183, logits_fake -0.0186,
Train Epoch: [3/5] Iters:[920/20018] gen_loss 0.2980, rec_loss 0.0361, lpips_loss 0.2035, g_loss 0.0191, disc_weight 0.5000, disc_adaptive_weight 3.0587, d_loss 0.5001, logits_real -0.0184, logits_fake -0.0190,
Train Epoch: [3/5] Iters:[930/20018] gen_loss 0.2981, rec_loss 0.0366, lpips_loss 0.2033, g_loss 0.0189, disc_weight 0.5000, disc_adaptive_weight 3.0669, d_loss 0.5002, logits_real -0.0182, logits_fake -0.0185,
Train Epoch: [3/5] Iters:[940/20018] gen_loss 0.2984, rec_loss 0.0369, lpips_loss 0.2030, g_loss 0.0185, disc_weight 0.5000, disc_adaptive_weight 3.1529, d_loss 0.5002, logits_real -0.0180, logits_fake -0.0183,
Train Epoch: [3/5] Iters:[950/20018] gen_loss 0.2982, rec_loss 0.0372, lpips_loss 0.2026, g_loss 0.0184, disc_weight 0.5000, disc_adaptive_weight 3.1819, d_loss 0.5002, logits_real -0.0178, logits_fake -0.0180,
Train Epoch: [3/5] Iters:[960/20018] gen_loss 0.3014, rec_loss 0.0381, lpips_loss 0.2039, g_loss 0.0182, disc_weight 0.5000, disc_adaptive_weight 3.2557, d_loss 0.5002, logits_real -0.0174, logits_fake -0.0178,
Train Epoch: [3/5] Iters:[970/20018] gen_loss 0.2989, rec_loss 0.0378, lpips_loss 0.2033, g_loss 0.0180, disc_weight 0.5000, disc_adaptive_weight 3.2064, d_loss 0.5002, logits_real -0.0176, logits_fake -0.0179,
Train Epoch: [3/5] Iters:[980/20018] gen_loss 0.2973, rec_loss 0.0373, lpips_loss 0.2017, g_loss 0.0179, disc_weight 0.5000, disc_adaptive_weight 3.2592, d_loss 0.5002, logits_real -0.0178, logits_fake -0.0183,
Train Epoch: [3/5] Iters:[990/20018] gen_loss 0.2952, rec_loss 0.0375, lpips_loss 0.2020, g_loss 0.0178, disc_weight 0.5000, disc_adaptive_weight 3.1196, d_loss 0.5002, logits_real -0.0180, logits_fake -0.0185,
Train Epoch: [3/5] Iters:[1000/20018] gen_loss 0.2930, rec_loss 0.0369, lpips_loss 0.2009, g_loss 0.0179, disc_weight 0.5000, disc_adaptive_weight 3.0780, d_loss 0.5002, logits_real -0.0182, logits_fake -0.0186,
Train Epoch: [3/5] Iters:[1010/20018] gen_loss 0.2905, rec_loss 0.0361, lpips_loss 0.1999, g_loss 0.0179, disc_weight 0.5000, disc_adaptive_weight 3.0386, d_loss 0.5001, logits_real -0.0183, logits_fake -0.0190,
Train Epoch: [3/5] Iters:[1020/20018] gen_loss 0.2915, rec_loss 0.0361, lpips_loss 0.2002, g_loss 0.0182, disc_weight 0.5000, disc_adaptive_weight 3.0288, d_loss 0.5002, logits_real -0.0184, logits_fake -0.0188,
Train Epoch: [3/5] Iters:[1030/20018] gen_loss 0.2935, rec_loss 0.0364, lpips_loss 0.2022, g_loss 0.0182, disc_weight 0.5000, disc_adaptive_weight 3.0097, d_loss 0.5003, logits_real -0.0183, logits_fake -0.0183,
Train Epoch: [3/5] Iters:[1040/20018] gen_loss 0.2958, rec_loss 0.0364, lpips_loss 0.2025, g_loss 0.0184, disc_weight 0.5000, disc_adaptive_weight 3.0941, d_loss 0.5003, logits_real -0.0184, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1050/20018] gen_loss 0.2975, rec_loss 0.0369, lpips_loss 0.2038, g_loss 0.0184, disc_weight 0.5000, disc_adaptive_weight 3.0880, d_loss 0.5003, logits_real -0.0187, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1060/20018] gen_loss 0.3005, rec_loss 0.0374, lpips_loss 0.2050, g_loss 0.0186, disc_weight 0.5000, disc_adaptive_weight 3.1141, d_loss 0.5004, logits_real -0.0187, logits_fake -0.0182,
Train Epoch: [3/5] Iters:[1070/20018] gen_loss 0.3023, rec_loss 0.0380, lpips_loss 0.2058, g_loss 0.0183, disc_weight 0.5000, disc_adaptive_weight 3.1962, d_loss 0.5003, logits_real -0.0181, logits_fake -0.0180,
Train Epoch: [3/5] Iters:[1080/20018] gen_loss 0.3012, rec_loss 0.0378, lpips_loss 0.2053, g_loss 0.0182, disc_weight 0.5000, disc_adaptive_weight 3.1926, d_loss 0.5002, logits_real -0.0180, logits_fake -0.0181,
Train Epoch: [3/5] Iters:[1090/20018] gen_loss 0.3014, rec_loss 0.0379, lpips_loss 0.2054, g_loss 0.0181, disc_weight 0.5000, disc_adaptive_weight 3.2048, d_loss 0.5002, logits_real -0.0176, logits_fake -0.0180,
Train Epoch: [3/5] Iters:[1100/20018] gen_loss 0.3014, rec_loss 0.0378, lpips_loss 0.2053, g_loss 0.0180, disc_weight 0.5000, disc_adaptive_weight 3.2463, d_loss 0.5002, logits_real -0.0173, logits_fake -0.0178,
Train Epoch: [3/5] Iters:[1110/20018] gen_loss 0.3002, rec_loss 0.0374, lpips_loss 0.2060, g_loss 0.0178, disc_weight 0.5000, disc_adaptive_weight 3.2012, d_loss 0.5001, logits_real -0.0171, logits_fake -0.0177,
Train Epoch: [3/5] Iters:[1120/20018] gen_loss 0.2983, rec_loss 0.0367, lpips_loss 0.2055, g_loss 0.0177, disc_weight 0.5000, disc_adaptive_weight 3.1772, d_loss 0.5001, logits_real -0.0172, logits_fake -0.0177,
Train Epoch: [3/5] Iters:[1130/20018] gen_loss 0.2988, rec_loss 0.0364, lpips_loss 0.2059, g_loss 0.0178, disc_weight 0.5000, disc_adaptive_weight 3.1801, d_loss 0.5002, logits_real -0.0173, logits_fake -0.0177,
Train Epoch: [3/5] Iters:[1140/20018] gen_loss 0.2974, rec_loss 0.0359, lpips_loss 0.2053, g_loss 0.0179, disc_weight 0.5000, disc_adaptive_weight 3.1284, d_loss 0.5002, logits_real -0.0175, logits_fake -0.0179,
Train Epoch: [3/5] Iters:[1150/20018] gen_loss 0.2975, rec_loss 0.0367, lpips_loss 0.2050, g_loss 0.0180, disc_weight 0.5000, disc_adaptive_weight 3.0891, d_loss 0.5001, logits_real -0.0171, logits_fake -0.0177,
Train Epoch: [3/5] Iters:[1160/20018] gen_loss 0.2954, rec_loss 0.0365, lpips_loss 0.2035, g_loss 0.0179, disc_weight 0.5000, disc_adaptive_weight 3.0823, d_loss 0.5001, logits_real -0.0170, logits_fake -0.0177,
Train Epoch: [3/5] Iters:[1170/20018] gen_loss 0.2943, rec_loss 0.0366, lpips_loss 0.2034, g_loss 0.0180, disc_weight 0.5000, disc_adaptive_weight 3.0194, d_loss 0.5001, logits_real -0.0169, logits_fake -0.0177,
Train Epoch: [3/5] Iters:[1180/20018] gen_loss 0.2940, rec_loss 0.0362, lpips_loss 0.2028, g_loss 0.0181, disc_weight 0.5000, disc_adaptive_weight 3.0220, d_loss 0.5001, logits_real -0.0170, logits_fake -0.0177,
Train Epoch: [3/5] Iters:[1190/20018] gen_loss 0.2967, rec_loss 0.0367, lpips_loss 0.2036, g_loss 0.0180, disc_weight 0.5000, disc_adaptive_weight 3.1195, d_loss 0.5001, logits_real -0.0168, logits_fake -0.0176,
Train Epoch: [3/5] Iters:[1200/20018] gen_loss 0.2994, rec_loss 0.0365, lpips_loss 0.2049, g_loss 0.0182, disc_weight 0.5000, disc_adaptive_weight 3.1793, d_loss 0.5001, logits_real -0.0171, logits_fake -0.0179,
Train Epoch: [3/5] Iters:[1210/20018] gen_loss 0.3036, rec_loss 0.0369, lpips_loss 0.2062, g_loss 0.0185, disc_weight 0.5000, disc_adaptive_weight 3.2403, d_loss 0.5001, logits_real -0.0176, logits_fake -0.0182,
Train Epoch: [3/5] Iters:[1220/20018] gen_loss 0.3061, rec_loss 0.0370, lpips_loss 0.2066, g_loss 0.0187, disc_weight 0.5000, disc_adaptive_weight 3.3323, d_loss 0.5002, logits_real -0.0179, logits_fake -0.0182,
Train Epoch: [3/5] Iters:[1230/20018] gen_loss 0.3085, rec_loss 0.0377, lpips_loss 0.2074, g_loss 0.0189, disc_weight 0.5000, disc_adaptive_weight 3.3472, d_loss 0.5002, logits_real -0.0179, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1240/20018] gen_loss 0.3062, rec_loss 0.0372, lpips_loss 0.2064, g_loss 0.0191, disc_weight 0.5000, disc_adaptive_weight 3.2803, d_loss 0.5003, logits_real -0.0185, logits_fake -0.0185,
Train Epoch: [3/5] Iters:[1250/20018] gen_loss 0.3023, rec_loss 0.0366, lpips_loss 0.2046, g_loss 0.0189, disc_weight 0.5000, disc_adaptive_weight 3.2303, d_loss 0.5003, logits_real -0.0189, logits_fake -0.0187,
Train Epoch: [3/5] Iters:[1260/20018] gen_loss 0.3007, rec_loss 0.0369, lpips_loss 0.2041, g_loss 0.0185, disc_weight 0.5000, disc_adaptive_weight 3.2215, d_loss 0.5003, logits_real -0.0184, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1270/20018] gen_loss 0.2989, rec_loss 0.0368, lpips_loss 0.2027, g_loss 0.0186, disc_weight 0.5000, disc_adaptive_weight 3.1949, d_loss 0.5003, logits_real -0.0184, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1280/20018] gen_loss 0.2979, rec_loss 0.0365, lpips_loss 0.2029, g_loss 0.0185, disc_weight 0.5000, disc_adaptive_weight 3.1529, d_loss 0.5003, logits_real -0.0186, logits_fake -0.0185,
Train Epoch: [3/5] Iters:[1290/20018] gen_loss 0.2996, rec_loss 0.0376, lpips_loss 0.2040, g_loss 0.0183, disc_weight 0.5000, disc_adaptive_weight 3.1749, d_loss 0.5003, logits_real -0.0183, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1300/20018] gen_loss 0.2998, rec_loss 0.0377, lpips_loss 0.2040, g_loss 0.0184, disc_weight 0.5000, disc_adaptive_weight 3.1610, d_loss 0.5002, logits_real -0.0182, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1310/20018] gen_loss 0.2975, rec_loss 0.0368, lpips_loss 0.2029, g_loss 0.0185, disc_weight 0.5000, disc_adaptive_weight 3.1322, d_loss 0.5002, logits_real -0.0185, logits_fake -0.0187,
Train Epoch: [3/5] Iters:[1320/20018] gen_loss 0.2988, rec_loss 0.0370, lpips_loss 0.2038, g_loss 0.0184, disc_weight 0.5000, disc_adaptive_weight 3.1482, d_loss 0.5003, logits_real -0.0186, logits_fake -0.0187,
Train Epoch: [3/5] Iters:[1330/20018] gen_loss 0.2958, rec_loss 0.0370, lpips_loss 0.2030, g_loss 0.0182, disc_weight 0.5000, disc_adaptive_weight 3.0610, d_loss 0.5002, logits_real -0.0184, logits_fake -0.0185,
Train Epoch: [3/5] Iters:[1340/20018] gen_loss 0.2944, rec_loss 0.0363, lpips_loss 0.2028, g_loss 0.0183, disc_weight 0.5000, disc_adaptive_weight 3.0248, d_loss 0.5002, logits_real -0.0182, logits_fake -0.0186,
Train Epoch: [3/5] Iters:[1350/20018] gen_loss 0.2954, rec_loss 0.0365, lpips_loss 0.2032, g_loss 0.0184, disc_weight 0.5000, disc_adaptive_weight 3.0075, d_loss 0.5002, logits_real -0.0182, logits_fake -0.0186,
Train Epoch: [3/5] Iters:[1360/20018] gen_loss 0.2947, rec_loss 0.0369, lpips_loss 0.2027, g_loss 0.0187, disc_weight 0.5000, disc_adaptive_weight 2.9377, d_loss 0.5001, logits_real -0.0181, logits_fake -0.0185,
Train Epoch: [3/5] Iters:[1370/20018] gen_loss 0.2924, rec_loss 0.0363, lpips_loss 0.2012, g_loss 0.0188, disc_weight 0.5000, disc_adaptive_weight 2.9013, d_loss 0.5001, logits_real -0.0180, logits_fake -0.0186,
Train Epoch: [3/5] Iters:[1380/20018] gen_loss 0.2947, rec_loss 0.0363, lpips_loss 0.2011, g_loss 0.0189, disc_weight 0.5000, disc_adaptive_weight 3.0324, d_loss 0.5001, logits_real -0.0179, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1390/20018] gen_loss 0.2941, rec_loss 0.0362, lpips_loss 0.2001, g_loss 0.0189, disc_weight 0.5000, disc_adaptive_weight 3.0571, d_loss 0.5002, logits_real -0.0180, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1400/20018] gen_loss 0.2928, rec_loss 0.0361, lpips_loss 0.2004, g_loss 0.0187, disc_weight 0.5000, disc_adaptive_weight 3.0008, d_loss 0.5002, logits_real -0.0180, logits_fake -0.0183,
Train Epoch: [3/5] Iters:[1410/20018] gen_loss 0.2957, rec_loss 0.0362, lpips_loss 0.2022, g_loss 0.0186, disc_weight 0.5000, disc_adaptive_weight 3.0651, d_loss 0.5002, logits_real -0.0180, logits_fake -0.0183,
Train Epoch: [3/5] Iters:[1420/20018] gen_loss 0.2964, rec_loss 0.0368, lpips_loss 0.2035, g_loss 0.0185, disc_weight 0.5000, disc_adaptive_weight 3.0381, d_loss 0.5001, logits_real -0.0178, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1430/20018] gen_loss 0.2980, rec_loss 0.0370, lpips_loss 0.2048, g_loss 0.0188, disc_weight 0.5000, disc_adaptive_weight 2.9973, d_loss 0.5000, logits_real -0.0178, logits_fake -0.0187,
Train Epoch: [3/5] Iters:[1440/20018] gen_loss 0.2987, rec_loss 0.0371, lpips_loss 0.2052, g_loss 0.0190, disc_weight 0.5000, disc_adaptive_weight 2.9691, d_loss 0.5001, logits_real -0.0181, logits_fake -0.0187,
Train Epoch: [3/5] Iters:[1450/20018] gen_loss 0.2995, rec_loss 0.0364, lpips_loss 0.2040, g_loss 0.0194, disc_weight 0.5000, disc_adaptive_weight 3.0495, d_loss 0.5001, logits_real -0.0182, logits_fake -0.0190,
Train Epoch: [3/5] Iters:[1460/20018] gen_loss 0.2992, rec_loss 0.0363, lpips_loss 0.2032, g_loss 0.0197, disc_weight 0.5000, disc_adaptive_weight 3.0265, d_loss 0.5001, logits_real -0.0188, logits_fake -0.0195,
Train Epoch: [3/5] Iters:[1470/20018] gen_loss 0.3012, rec_loss 0.0362, lpips_loss 0.2036, g_loss 0.0204, disc_weight 0.5000, disc_adaptive_weight 3.0122, d_loss 0.5001, logits_real -0.0194, logits_fake -0.0201,
Train Epoch: [3/5] Iters:[1480/20018] gen_loss 0.3011, rec_loss 0.0361, lpips_loss 0.2028, g_loss 0.0206, disc_weight 0.5000, disc_adaptive_weight 3.0157, d_loss 0.5001, logits_real -0.0197, logits_fake -0.0203,
Train Epoch: [3/5] Iters:[1490/20018] gen_loss 0.3021, rec_loss 0.0363, lpips_loss 0.2024, g_loss 0.0207, disc_weight 0.5000, disc_adaptive_weight 3.0666, d_loss 0.5001, logits_real -0.0198, logits_fake -0.0206,
Train Epoch: [3/5] Iters:[1500/20018] gen_loss 0.3040, rec_loss 0.0369, lpips_loss 0.2037, g_loss 0.0203, disc_weight 0.5000, disc_adaptive_weight 3.1178, d_loss 0.5001, logits_real -0.0199, logits_fake -0.0205,
Train Epoch: [3/5] Iters:[1510/20018] gen_loss 0.3030, rec_loss 0.0372, lpips_loss 0.2043, g_loss 0.0197, disc_weight 0.5000, disc_adaptive_weight 3.1166, d_loss 0.5001, logits_real -0.0192, logits_fake -0.0199,
Train Epoch: [3/5] Iters:[1520/20018] gen_loss 0.3038, rec_loss 0.0377, lpips_loss 0.2054, g_loss 0.0190, disc_weight 0.5000, disc_adaptive_weight 3.1735, d_loss 0.5002, logits_real -0.0186, logits_fake -0.0190,
Train Epoch: [3/5] Iters:[1530/20018] gen_loss 0.3028, rec_loss 0.0378, lpips_loss 0.2048, g_loss 0.0188, disc_weight 0.5000, disc_adaptive_weight 3.1944, d_loss 0.5002, logits_real -0.0186, logits_fake -0.0189,
Train Epoch: [3/5] Iters:[1540/20018] gen_loss 0.3011, rec_loss 0.0378, lpips_loss 0.2043, g_loss 0.0185, disc_weight 0.5000, disc_adaptive_weight 3.1818, d_loss 0.5002, logits_real -0.0184, logits_fake -0.0186,
Train Epoch: [3/5] Iters:[1550/20018] gen_loss 0.2988, rec_loss 0.0377, lpips_loss 0.2037, g_loss 0.0182, disc_weight 0.5000, disc_adaptive_weight 3.1524, d_loss 0.5001, logits_real -0.0178, logits_fake -0.0183,
Train Epoch: [3/5] Iters:[1560/20018] gen_loss 0.2998, rec_loss 0.0378, lpips_loss 0.2040, g_loss 0.0180, disc_weight 0.5000, disc_adaptive_weight 3.2170, d_loss 0.5002, logits_real -0.0175, logits_fake -0.0177,
Train Epoch: [3/5] Iters:[1570/20018] gen_loss 0.2974, rec_loss 0.0377, lpips_loss 0.2023, g_loss 0.0176, disc_weight 0.5000, disc_adaptive_weight 3.2645, d_loss 0.5002, logits_real -0.0173, logits_fake -0.0175,
Train Epoch: [3/5] Iters:[1580/20018] gen_loss 0.2964, rec_loss 0.0376, lpips_loss 0.2023, g_loss 0.0172, disc_weight 0.5000, disc_adaptive_weight 3.2707, d_loss 0.5002, logits_real -0.0168, logits_fake -0.0170,
Train Epoch: [3/5] Iters:[1590/20018] gen_loss 0.2975, rec_loss 0.0375, lpips_loss 0.2031, g_loss 0.0173, disc_weight 0.5000, disc_adaptive_weight 3.2875, d_loss 0.5002, logits_real -0.0166, logits_fake -0.0168,
Train Epoch: [3/5] Iters:[1600/20018] gen_loss 0.2989, rec_loss 0.0374, lpips_loss 0.2032, g_loss 0.0176, disc_weight 0.5000, disc_adaptive_weight 3.3087, d_loss 0.5002, logits_real -0.0171, logits_fake -0.0171,
Train Epoch: [3/5] Iters:[1610/20018] gen_loss 0.2973, rec_loss 0.0369, lpips_loss 0.2018, g_loss 0.0179, disc_weight 0.5000, disc_adaptive_weight 3.2616, d_loss 0.5002, logits_real -0.0175, logits_fake -0.0178,
Train Epoch: [3/5] Iters:[1620/20018] gen_loss 0.2963, rec_loss 0.0362, lpips_loss 0.2017, g_loss 0.0183, disc_weight 0.5000, disc_adaptive_weight 3.1809, d_loss 0.5002, logits_real -0.0177, logits_fake -0.0182,
Train Epoch: [3/5] Iters:[1630/20018] gen_loss 0.2977, rec_loss 0.0367, lpips_loss 0.2022, g_loss 0.0184, disc_weight 0.5000, disc_adaptive_weight 3.1851, d_loss 0.5001, logits_real -0.0180, logits_fake -0.0185,
Train Epoch: [3/5] Iters:[1640/20018] gen_loss 0.2956, rec_loss 0.0363, lpips_loss 0.2017, g_loss 0.0184, disc_weight 0.5000, disc_adaptive_weight 3.1195, d_loss 0.5001, logits_real -0.0179, logits_fake -0.0186,
Train Epoch: [3/5] Iters:[1650/20018] gen_loss 0.2968, rec_loss 0.0365, lpips_loss 0.2026, g_loss 0.0183, disc_weight 0.5000, disc_adaptive_weight 3.1343, d_loss 0.5001, logits_real -0.0175, logits_fake -0.0182,
Train Epoch: [3/5] Iters:[1660/20018] gen_loss 0.3001, rec_loss 0.0368, lpips_loss 0.2032, g_loss 0.0183, disc_weight 0.5000, disc_adaptive_weight 3.2633, d_loss 0.5002, logits_real -0.0174, logits_fake -0.0178,
Train Epoch: [3/5] Iters:[1670/20018] gen_loss 0.3019, rec_loss 0.0372, lpips_loss 0.2034, g_loss 0.0183, disc_weight 0.5000, disc_adaptive_weight 3.3303, d_loss 0.5002, logits_real -0.0173, logits_fake -0.0178,
Train Epoch: [3/5] Iters:[1680/20018] gen_loss 0.3018, rec_loss 0.0370, lpips_loss 0.2044, g_loss 0.0180, disc_weight 0.5000, disc_adaptive_weight 3.3441, d_loss 0.5002, logits_real -0.0174, logits_fake -0.0175,
Train Epoch: [3/5] Iters:[1690/20018] gen_loss 0.3037, rec_loss 0.0375, lpips_loss 0.2062, g_loss 0.0178, disc_weight 0.5000, disc_adaptive_weight 3.3496, d_loss 0.5002, logits_real -0.0173, logits_fake -0.0175,
Train Epoch: [3/5] Iters:[1700/20018] gen_loss 0.3020, rec_loss 0.0372, lpips_loss 0.2050, g_loss 0.0180, disc_weight 0.5000, disc_adaptive_weight 3.3095, d_loss 0.5002, logits_real -0.0174, logits_fake -0.0177,
Train Epoch: [3/5] Iters:[1710/20018] gen_loss 0.3008, rec_loss 0.0374, lpips_loss 0.2051, g_loss 0.0184, disc_weight 0.5000, disc_adaptive_weight 3.1680, d_loss 0.5002, logits_real -0.0178, logits_fake -0.0181,
Train Epoch: [3/5] Iters:[1720/20018] gen_loss 0.3006, rec_loss 0.0371, lpips_loss 0.2041, g_loss 0.0188, disc_weight 0.5000, disc_adaptive_weight 3.1520, d_loss 0.5002, logits_real -0.0183, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1730/20018] gen_loss 0.2974, rec_loss 0.0367, lpips_loss 0.2025, g_loss 0.0190, disc_weight 0.5000, disc_adaptive_weight 3.0460, d_loss 0.5002, logits_real -0.0183, logits_fake -0.0186,
Train Epoch: [3/5] Iters:[1740/20018] gen_loss 0.2966, rec_loss 0.0369, lpips_loss 0.2016, g_loss 0.0189, disc_weight 0.5000, disc_adaptive_weight 3.0522, d_loss 0.5002, logits_real -0.0182, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1750/20018] gen_loss 0.2972, rec_loss 0.0367, lpips_loss 0.2023, g_loss 0.0188, disc_weight 0.5000, disc_adaptive_weight 3.0750, d_loss 0.5002, logits_real -0.0181, logits_fake -0.0184,
Train Epoch: [3/5] Iters:[1760/20018] gen_loss 0.2975, rec_loss 0.0369, lpips_loss 0.2028, g_loss 0.0183, disc_weight 0.5000, disc_adaptive_weight 3.1484, d_loss 0.5002, logits_real -0.0178, logits_fake -0.0179,
